Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2022-06-02 07:52:57,false,"Folsom Walking","1.27","143","00:23:46","117","137","90","186","18:42","7:46","36","98","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:53.00.3","2","0.0","00:21:27","00:23:46","157","193"
Cardio,2022-06-01 12:27:03,false,"Cardio","0.00","223","00:30:13","124","151","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","30:12.53.2","1","0.0","00:00:00","00:30:13","249","249"
Cardio,2022-05-31 13:05:24,false,"Cardio","0.00","252","00:29:06","134","159","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","29:06.10.4","1","0.0","00:00:00","00:29:06","256","263"
Walking,2022-05-31 08:02:55,false,"Folsom Walking","1.27","151","00:22:20","122","162","104","191","17:38","8:56","164","30","0.88","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:37.00.6","2","0.0","00:19:23","00:22:20","241","273"
Walking,2022-05-30 08:09:14,false,"Folsom Walking","2.26","211","00:39:29","106","123","116","246","17:28","13:42","69","98","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:18.75.5","3","0.0","00:39:10","00:39:29","119","196"
Walking,2022-05-29 07:49:30,false,"Folsom Walking","1.75","181","00:29:39","118","140","113","249","16:55","6:26","79","79","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","11:59.67.9","2","0.0","00:27:45","00:29:39","148","228"
Cardio,2022-05-27 12:34:37,false,"Cardio","0.00","201","00:23:37","131","170","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","23:37.18.1","1","0.0","00:00:00","00:23:37","234","234"
Walking,2022-05-27 09:14:51,false,"Folsom Walking","1.44","212","00:39:32","115","172","52","173","27:22","4:24","43","131","1.63","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","17:25.07.3","2","0.0","00:17:10","00:39:32","227","276"
Cardio,2022-05-26 12:37:41,false,"Cardio","0.00","200","00:20:57","142","169","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","20:57.13.6","1","0.0","00:00:00","00:20:57","358","358"
Cardio,2022-05-25 12:00:06,false,"Cardio","0.00","244","00:34:24","122","150","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","34:23.64.9","1","0.0","00:00:00","00:34:24","375","375"
