Year_Week,Year,Week,Is Weekend,Day Of Week,Date,Program,Workout,Activity Type,Description,Time (m),Instructor
2021_48,2021,48,TRUE,1,11/21/2021,9 Week Control Freak,Phase 1 Week 1 Workout 3,Cardio,Tabata Cardio,23,Autumn
2022_3,2022,3,FALSE,3,1/11/2022,9 Week Control Freak,Phase 2 Week 1 Workout 1,Cardio,Tabata Cardio,23,Autumn
2022_4,2022,4,FALSE,5,1/20/2022,9 Week Control Freak,Phase 2 Week 2 Workout 1,Cardio,Tabata Cardio,23,Autumn
2022_6,2022,6,FALSE,4,2/2/2022,9 Week Control Freak,Phase 2 Week 3 Workout 1,Cardio,Tabata Cardio,23,Autumn
2022_15,2022,15,FALSE,5,4/7/2022,22 Minute Hard Corps,,Cardio,Cardio 1,23,Tony Horton
2022_16,2022,16,FALSE,2,4/11/2022,22 Minute Hard Corps,,Cardio,Cardio 2,23,Tony Horton
2022_17,2022,17,FALSE,3,4/19/2022,22 Minute Hard Corps,Special Ops,Cardio,Cardio,23,Tony Horton
2022_24,2022,24,FALSE,4,6/8/2022,22 Minute Hard Corps,,Cardio,Cardio 1,23,Tony Horton
2022_27,2022,27,FALSE,3,6/28/2022,9 Week Control Freak,Phase 2 Week 1,Cardio,Tabata Cardio,23,Autumn
2022_32,2022,32,FALSE,6,8/5/2022,Yoga Studio,Muscle Recovery,Yoga,Yoga,23,Ted
2021_46,2021,46,FALSE,5,11/11/2021,Morning Meltdown 100,Workout 2,Cardio,Upbeat Strength,24,Jericho
2021_49,2021,49,FALSE,6,12/3/2021,9 Week Control Freak,Phase 1 Week 2 Workout 3,Cardio,Tabata Cardio,24,Autumn
2021_53,2021,53,FALSE,2,12/27/2021,9 Week Control Freak,Phase 1 Week 3 Workout 3,Cardio,Tabata Cardio,24,Autumn
2022_12,2022,12,FALSE,4,3/16/2022,Barre Blend,Intro,Cardio,Classic Full Body Blend,24,Elise
2022_12,2022,12,FALSE,4,3/16/2022,Barre Blend,Intro,Cardio,Cardio Blend,24,Elise
2022_12,2022,12,FALSE,3,3/15/2022,9 Week Control Freak,Phase 1 Week 1 Workout 3,Cardio,Tabata Cardio,24,Autumn
2022_19,2022,19,FALSE,2,5/2/2022,Barre Blend,,Cardio,Classic Full Body Blend,24,Elise
2022_22,2022,22,FALSE,5,5/26/2022,9 Week Control Freak,Phase 1 Week 2 Workout 3,Cardio,Tabata Cardio,24,Autumn
2022_24,2022,24,FALSE,4,6/8/2022,9 Week Control Freak,Phase 1 Week 2 Workout 3,Cardio,Tabata Cardio,24,Autumn
2022_25,2022,25,FALSE,4,6/15/2022,9 Week Control Freak,Phase 1 Week 1,Cardio,Tabata Cardio,24,Autumn
2022_28,2022,28,FALSE,4,7/6/2022,Barre Blend,Cardio Blend,Cardio,Barre,24,Elise
2022_36,2022,36,FALSE,4,8/31/2022,9 Week Control Freak,Phase 1 Week 1,Cardio,Tabata Cardio,24,Autumn
2021_47,2021,47,FALSE,3,11/16/2021,9 Week Control Freak,Intro,Cardio,Sample Workout,25,Autumn
2022_15,2022,15,FALSE,3,4/5/2022,9 Week Control Freak,Phase 3 Week 3 Workout 4,Cardio,Chest & Triceps,25,Autumn
2022_22,2022,22,FALSE,6,5/27/2022,22 Minute Hard Corps,,Cardio,Battle Buddy,25,Tony Horton
2022_33,2022,33,TRUE,1,8/7/2022,#MBF,Day 7,Cardio,Dynamic Recovery,25,Megan Davies
2022_33,2022,33,FALSE,2,8/8/2022,Tai Cheng,Tai Chi Phase 1 Day 4,Cardio,Ward Off,26,Dr. Mark Cheng
2021_46,2021,46,FALSE,3,11/9/2021,Morning Meltdown 100,Workout 1,Cardio,Cardio Meltdown,27,Jericho
2022_2,2022,2,FALSE,3,1/4/2022,Morning Meltdown 100,Workout 4,Cardio,Total Body Badass,27,Jericho
2022_6,2022,6,FALSE,5,2/3/2022,P90x3,Yoga,Yoga,Yoga,27,Tony Horton
2022_19,2022,19,FALSE,5,5/5/2022,3 Week Yoga Retreat,Yoga Day 3,Yoga,Balance,28,Vitas
2022_29,2022,29,FALSE,3,7/12/2022,Focus T25,,Cardio,Cardio,28,Shaun T
2022_30,2022,30,FALSE,3,7/19/2022,Focus T25,,Cardio,Speed 1.0,28,Shaun T
2022_8,2022,8,FALSE,6,2/18/2022,9 Week Control Freak,Phase 3 Week 1 Workout 3,Cardio,Total Body Tone,29,Autumn
2022_13,2022,13,FALSE,2,3/21/2022,9 Week Control Freak,Phase 3 Week 2 Workout 3,Cardio,Total Body Tone,29,Autumn
2022_14,2022,14,FALSE,5,3/31/2022,9 Week Control Freak,Phase 3 Week 3 Workout 3,Cardio,Total Body Tone,29,Autumn
2022_14,2022,14,FALSE,4,3/30/2022,3 Week Yoga Retreat,Yoga Day 4,Yoga,Flow,29,Vitas
2022_31,2022,31,FALSE,5,7/28/2022,Focus T25,,Cardio,Total Body Circuit,29,Shaun T
2022_32,2022,32,FALSE,4,8/3/2022,Yoga Studio,For Cyclists,Yoga,Yoga,29,Ted
2021_40,2021,40,FALSE,3,9/28/2021,P90x3,Yoga,Yoga,Yoga,30,Tony Horton
2021_48,2021,48,FALSE,2,11/22/2021,9 Week Control Freak,Phase 1 Week 1 Workout 2,Cardio,Chest & Triceps,30,Autumn
2021_48,2021,48,FALSE,4,11/24/2021,9 Week Control Freak,Phase 1 Week 1 Workout 5,Cardio,Total Body Tone,30,Autumn
2021_49,2021,49,FALSE,2,11/29/2021,Tai Cheng,Tai Chi Phase 1 Day 1,Cardio,"Standing Stances, Lift & Lower",30,Dr. Mark Cheng
2021_50,2021,50,FALSE,3,12/7/2021,9 Week Control Freak,Phase 1 Week 2 Workout 1,Cardio,Total Body Tone,30,Autumn
2021_51,2021,51,FALSE,3,12/14/2021,Yoga Studio,Yoga,Yoga,Yoga for Weekend Warriors,30,Ted
2021_51,2021,51,FALSE,5,12/16/2021,P90x3,Yoga,Yoga,Yoga,30,Tony Horton
